id,title,author,genre,year,rating,pages,description,language,purpose,length,moods,image_url
328,Brief History,Carlos Lovelace,Programming,1987,4.1,301,A fascinating Spanish programming book that explores the mind.,Spanish,Career growth,Medium,Relaxed,https://covers.openlibrary.org/b/id/7358187-L.jpg
329,Brief Universe,Robert Smith,Fiction,1969,4.6,385,A fascinating French fiction book that explores the light.,French,Learning,Medium,"Emotional, Curious",https://covers.openlibrary.org/b/id/8700905-L.jpg
330,The Great Forest,Robert Sharma,Fantasy,1991,4.2,985,A fascinating Spanish fantasy book that explores the algorithm.,Spanish,Career growth,Long,Emotional,https://covers.openlibrary.org/b/id/6071547-L.jpg
331,Cosmic Mystery,Jean Chen,Science,1996,4.7,956,A fascinating Spanish science book that explores the history.,Spanish,Motivation,Long,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/6891795-L.jpg
332,Infinite Code,Sophie Kumar,Mystery,2004,5.0,180,A fascinating Spanish mystery book that explores the shadow.,Spanish,Motivation,Short,"Relaxed, Curious",https://covers.openlibrary.org/b/id/8124310-L.jpg
333,Digital Shadow,Priya Dubois,Fiction,1954,4.3,564,A fascinating French fiction book that explores the forest.,French,Learning,Long,Emotional,https://covers.openlibrary.org/b/id/6720345-L.jpg
334,Cosmic Dream,Priya Chen,Science,2021,4.7,521,A fascinating Hindi science book that explores the mystery.,Hindi,Career growth,Long,Curious,https://covers.openlibrary.org/b/id/6181276-L.jpg
335,Lost Code,Amit Kim,Fantasy,2018,3.6,119,A fascinating Spanish fantasy book that explores the shadow.,Spanish,Career growth,Short,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/6823781-L.jpg
336,Secret Mystery,Jean Sharma,Programming,1980,4.7,619,A fascinating English programming book that explores the light.,English,Entertainment,Long,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/7793256-L.jpg
337,Magic Dream,Robert Chen,Fantasy,2020,4.1,282,A fascinating Spanish fantasy book that explores the dream.,Spanish,Entertainment,Medium,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/7393032-L.jpg
338,Brief History,Amit Garcia,Fiction,1987,4.2,511,A fascinating English fiction book that explores the mind.,English,Career growth,Long,"Curious, Inspired",https://covers.openlibrary.org/b/id/6420429-L.jpg
339,Silent History,Amit Sharma,Fiction,1960,3.7,53,A fascinating English fiction book that explores the habit.,English,Career growth,Short,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/5858931-L.jpg
340,Infinite Code,Elena Turing,Science,1967,4.5,813,A fascinating English science book that explores the heart.,English,Entertainment,Long,Relaxed,https://covers.openlibrary.org/b/id/5181836-L.jpg
341,Lost Dream,Amit Dubois,Mystery,1995,4.8,862,A fascinating Spanish mystery book that explores the history.,Spanish,Motivation,Long,"Emotional, Curious",https://covers.openlibrary.org/b/id/5748822-L.jpg
342,Cosmic Heart,James Patel,Fiction,1966,4.7,213,A fascinating English fiction book that explores the mystery.,English,Learning,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/5627993-L.jpg
343,Lost Dream,Priya Kim,Fiction,2002,4.5,223,A fascinating Hindi fiction book that explores the code.,Hindi,Entertainment,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/6730076-L.jpg
344,Silent Light,Priya Kim,Fantasy,1951,4.1,826,A fascinating English fantasy book that explores the universe.,English,Learning,Long,"Relaxed, Curious",https://covers.openlibrary.org/b/id/6349881-L.jpg
345,Digital Universe,Isabella Lovelace,Self-Help,2021,4.4,103,A fascinating Hindi self-help book that explores the algorithm.,Hindi,Learning,Short,Curious,https://covers.openlibrary.org/b/id/7172360-L.jpg
346,Brief Heart,Ada Kim,Fantasy,2006,4.9,595,A fascinating Hindi fantasy book that explores the forest.,Hindi,Motivation,Long,"Curious, Inspired",https://covers.openlibrary.org/b/id/6408379-L.jpg
347,Hidden Code,Maria Chen,Programming,1987,4.8,272,A fascinating French programming book that explores the mystery.,French,Motivation,Medium,Relaxed,https://covers.openlibrary.org/b/id/6618707-L.jpg
348,Golden Dream,Ada Turing,Mystery,1987,4.8,554,A fascinating French mystery book that explores the dream.,French,Learning,Long,Inspired,https://covers.openlibrary.org/b/id/5698715-L.jpg
349,Hidden Journey,Alan Rodriguez,Programming,2020,4.3,331,A fascinating English programming book that explores the history.,English,Entertainment,Medium,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/8100131-L.jpg
350,Cosmic Heart,Alan Martin,Self-Help,2016,4.4,400,A fascinating English self-help book that explores the forest.,English,Motivation,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/7638588-L.jpg
351,Cosmic Heart,Isabella Garcia,Fiction,2007,4.3,769,A fascinating English fiction book that explores the dream.,English,Entertainment,Long,Inspired,https://covers.openlibrary.org/b/id/7680700-L.jpg
352,Brief Algorithm,Maria Patel,Programming,1968,3.6,328,A fascinating English programming book that explores the universe.,English,Learning,Medium,"Curious, Inspired",https://covers.openlibrary.org/b/id/8853975-L.jpg
353,Infinite Shadow,Priya Kumar,Science,2008,3.9,161,A fascinating Spanish science book that explores the algorithm.,Spanish,Learning,Short,Curious,https://covers.openlibrary.org/b/id/6441331-L.jpg
354,Lost Habit,Isabella Lovelace,Fiction,1983,3.9,130,A fascinating Spanish fiction book that explores the light.,Spanish,Motivation,Short,Emotional,https://covers.openlibrary.org/b/id/5106532-L.jpg
355,Digital Shadow,Robert Lovelace,Science,1969,4.4,99,A fascinating Hindi science book that explores the dream.,Hindi,Career growth,Short,Emotional,https://covers.openlibrary.org/b/id/7849130-L.jpg
356,Secret Heart,Jean Dubois,Mystery,2012,4.2,307,A fascinating French mystery book that explores the light.,French,Career growth,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/7279131-L.jpg
357,Golden Shadow,Isabella Chen,Fiction,1989,4.5,132,A fascinating Hindi fiction book that explores the shadow.,Hindi,Learning,Short,"Emotional, Curious",https://covers.openlibrary.org/b/id/7527469-L.jpg
358,Cosmic Shadow,Sophie Smith,Science,1996,4.6,212,A fascinating English science book that explores the code.,English,Entertainment,Medium,"Curious, Inspired",https://covers.openlibrary.org/b/id/5038688-L.jpg
359,Silent Shadow,Ada Chen,Fiction,1984,4.9,70,A fascinating English fiction book that explores the universe.,English,Learning,Short,"Relaxed, Curious",https://covers.openlibrary.org/b/id/5018006-L.jpg
360,Silent History,James Kumar,Self-Help,2012,5.0,188,A fascinating Hindi self-help book that explores the forest.,Hindi,Motivation,Short,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/6624951-L.jpg
361,Final Dream,Carlos Kim,Science,2020,4.9,305,A fascinating English science book that explores the dream.,English,Entertainment,Medium,"Curious, Inspired",https://covers.openlibrary.org/b/id/7825055-L.jpg
362,Pragmatic Universe,Alan Kim,Fantasy,1992,4.5,308,A fascinating Hindi fantasy book that explores the dream.,Hindi,Career growth,Medium,Inspired,https://covers.openlibrary.org/b/id/8473510-L.jpg
363,The Great History,Amit Kim,Science,2015,4.4,711,A fascinating Spanish science book that explores the journey.,Spanish,Entertainment,Long,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/7275518-L.jpg
364,Golden Data,Jean Sharma,Programming,2012,4.5,214,A fascinating French programming book that explores the shadow.,French,Career growth,Medium,Inspired,https://covers.openlibrary.org/b/id/7298787-L.jpg
365,Cosmic Shadow,James Smith,Fiction,1995,4.5,199,A fascinating French fiction book that explores the data.,French,Learning,Short,"Emotional, Inspired",https://covers.openlibrary.org/b/id/8060236-L.jpg
366,Brief History,Sophie Kumar,Fiction,1983,3.8,330,A fascinating Spanish fiction book that explores the code.,Spanish,Career growth,Medium,"Curious, Inspired",https://covers.openlibrary.org/b/id/6696525-L.jpg
367,Hidden Data,Carlos Patel,Fantasy,2005,4.7,376,A fascinating French fantasy book that explores the shadow.,French,Career growth,Medium,"Emotional, Inspired",https://covers.openlibrary.org/b/id/7142561-L.jpg
368,Hidden Mind,Carlos Dubois,Self-Help,1983,4.6,286,A fascinating English self-help book that explores the heart.,English,Entertainment,Medium,Relaxed,https://covers.openlibrary.org/b/id/7054884-L.jpg
369,Cosmic Mind,Alan Martin,Self-Help,1974,4.6,380,A fascinating French self-help book that explores the journey.,French,Learning,Medium,"Curious, Inspired",https://covers.openlibrary.org/b/id/5213807-L.jpg
370,Digital History,Alan Martin,Programming,2023,3.6,293,A fascinating French programming book that explores the journey.,French,Entertainment,Medium,"Emotional, Curious",https://covers.openlibrary.org/b/id/6920098-L.jpg
371,The Great Algorithm,Carlos Rodriguez,Mystery,2015,4.2,185,A fascinating French mystery book that explores the heart.,French,Entertainment,Short,Relaxed,https://covers.openlibrary.org/b/id/7293667-L.jpg
372,The Great Heart,Robert Kumar,Self-Help,2021,4.7,257,A fascinating Hindi self-help book that explores the light.,Hindi,Learning,Medium,Relaxed,https://covers.openlibrary.org/b/id/5501688-L.jpg
373,Infinite Heart,Elena Chen,Programming,2008,4.6,598,A fascinating French programming book that explores the habit.,French,Motivation,Long,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/7818063-L.jpg
374,Hidden Heart,Carlos Sharma,Programming,1974,4.3,132,A fascinating French programming book that explores the history.,French,Entertainment,Short,"Emotional, Curious",https://covers.openlibrary.org/b/id/6857230-L.jpg
375,Digital Mind,Priya Dubois,Fiction,1985,4.7,769,A fascinating Spanish fiction book that explores the journey.,Spanish,Learning,Long,"Emotional, Inspired",https://covers.openlibrary.org/b/id/7358087-L.jpg
376,Digital Habit,Carlos Martin,Self-Help,1963,4.9,458,A fascinating French self-help book that explores the dream.,French,Motivation,Long,Inspired,https://covers.openlibrary.org/b/id/5547108-L.jpg
377,Silent Forest,James Patel,Science,1980,4.8,524,A fascinating Spanish science book that explores the universe.,Spanish,Learning,Long,Inspired,https://covers.openlibrary.org/b/id/7722594-L.jpg
378,Silent Universe,Amit Sharma,Self-Help,1997,4.9,105,A fascinating French self-help book that explores the history.,French,Entertainment,Short,Inspired,https://covers.openlibrary.org/b/id/6530485-L.jpg
379,Secret Data,Ada Dubois,Self-Help,1986,4.1,59,A fascinating French self-help book that explores the heart.,French,Motivation,Short,Relaxed,https://covers.openlibrary.org/b/id/8684102-L.jpg
380,Dark Mind,Robert Lovelace,Fantasy,2016,3.5,345,A fascinating French fantasy book that explores the light.,French,Motivation,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/5659999-L.jpg
381,Digital Code,Elena Garcia,Programming,1951,3.9,299,A fascinating Spanish programming book that explores the journey.,Spanish,Motivation,Medium,Emotional,https://covers.openlibrary.org/b/id/8423562-L.jpg
382,Magic Habit,Sophie Dubois,Programming,1999,3.6,587,A fascinating Spanish programming book that explores the journey.,Spanish,Entertainment,Long,Inspired,https://covers.openlibrary.org/b/id/5240105-L.jpg
383,Secret Code,Isabella Smith,Mystery,1971,3.8,74,A fascinating Spanish mystery book that explores the mystery.,Spanish,Motivation,Short,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/6406824-L.jpg
384,Infinite Heart,Isabella Turing,Fantasy,2003,4.7,331,A fascinating French fantasy book that explores the mystery.,French,Entertainment,Medium,Emotional,https://covers.openlibrary.org/b/id/7375087-L.jpg
385,Magic Habit,Ada Smith,Fantasy,2005,4.6,50,A fascinating French fantasy book that explores the history.,French,Motivation,Short,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/5246802-L.jpg
386,Cosmic History,James Rodriguez,Fantasy,1969,4.9,218,A fascinating Hindi fantasy book that explores the light.,Hindi,Entertainment,Medium,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/6634940-L.jpg
387,Pragmatic Dream,James Sharma,Self-Help,1994,3.6,981,A fascinating English self-help book that explores the light.,English,Entertainment,Long,Emotional,https://covers.openlibrary.org/b/id/5408351-L.jpg
388,Silent Code,Carlos Chen,Fantasy,1994,4.1,297,A fascinating English fantasy book that explores the forest.,English,Entertainment,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/7465200-L.jpg
389,Golden Mystery,Alan Turing,Fantasy,1963,4.9,167,A fascinating Hindi fantasy book that explores the universe.,Hindi,Career growth,Short,"Emotional, Curious",https://covers.openlibrary.org/b/id/8043475-L.jpg
390,Magic Mystery,Alan Martin,Programming,1950,4.8,949,A fascinating Hindi programming book that explores the algorithm.,Hindi,Motivation,Long,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/5408425-L.jpg
391,Infinite Code,Maria Martin,Fantasy,1973,4.2,405,A fascinating English fantasy book that explores the algorithm.,English,Learning,Long,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/6930876-L.jpg
392,Dark Mind,Robert Patel,Science,2004,4.5,301,A fascinating Hindi science book that explores the shadow.,Hindi,Entertainment,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/7382314-L.jpg
393,Cosmic Mystery,James Chen,Fantasy,1968,4.4,347,A fascinating English fantasy book that explores the mind.,English,Motivation,Medium,Curious,https://covers.openlibrary.org/b/id/8581756-L.jpg
394,Brief Data,Maria Sharma,Mystery,1965,3.9,302,A fascinating English mystery book that explores the forest.,English,Career growth,Medium,Relaxed,https://covers.openlibrary.org/b/id/7868443-L.jpg
395,Dark Mystery,Sophie Kim,Fiction,1959,4.6,221,A fascinating English fiction book that explores the algorithm.,English,Learning,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/7281608-L.jpg
396,Digital Forest,Maria Kumar,Programming,2022,4.5,323,A fascinating French programming book that explores the history.,French,Career growth,Medium,Relaxed,https://covers.openlibrary.org/b/id/6038309-L.jpg
397,Infinite History,Alan Chen,Science,2023,4.5,183,A fascinating French science book that explores the forest.,French,Career growth,Short,"Curious, Inspired",https://covers.openlibrary.org/b/id/8548282-L.jpg
398,Silent Code,Robert Kim,Mystery,1997,4.7,117,A fascinating Spanish mystery book that explores the light.,Spanish,Learning,Short,"Emotional, Curious",https://covers.openlibrary.org/b/id/8342144-L.jpg
399,Pragmatic Heart,Ada Rodriguez,Science,1970,3.7,60,A fascinating English science book that explores the data.,English,Learning,Short,Relaxed,https://covers.openlibrary.org/b/id/7293886-L.jpg
400,Digital History,Alan Patel,Fiction,1975,3.8,98,A fascinating French fiction book that explores the mind.,French,Learning,Short,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/7711337-L.jpg
401,Cosmic Shadow,Amit Sharma,Science,1982,5.0,582,A fascinating French science book that explores the history.,French,Career growth,Long,"Emotional, Inspired",https://covers.openlibrary.org/b/id/5258995-L.jpg
402,Infinite Heart,Jean Kim,Fiction,1985,3.7,142,A fascinating English fiction book that explores the dream.,English,Learning,Short,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/6391651-L.jpg
403,Digital Data,Isabella Kim,Programming,1951,3.9,268,A fascinating English programming book that explores the forest.,English,Career growth,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/5444337-L.jpg
404,Digital Dream,Ada Sharma,Self-Help,1991,3.9,359,A fascinating Hindi self-help book that explores the history.,Hindi,Learning,Medium,"Emotional, Inspired",https://covers.openlibrary.org/b/id/7624106-L.jpg
405,Pragmatic Light,Jean Lovelace,Self-Help,1968,4.1,355,A fascinating Spanish self-help book that explores the heart.,Spanish,Entertainment,Medium,Inspired,https://covers.openlibrary.org/b/id/6351646-L.jpg
406,Magic Light,Carlos Rodriguez,Fiction,1966,3.7,708,A fascinating French fiction book that explores the mystery.,French,Career growth,Long,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/7622354-L.jpg
407,Cosmic Code,Sophie Garcia,Self-Help,1990,4.7,116,A fascinating French self-help book that explores the mind.,French,Career growth,Short,Inspired,https://covers.openlibrary.org/b/id/5087594-L.jpg
408,Final Heart,Alan Turing,Fantasy,1994,4.6,289,A fascinating French fantasy book that explores the light.,French,Entertainment,Medium,Relaxed,https://covers.openlibrary.org/b/id/5003077-L.jpg
409,Pragmatic Habit,Alan Sharma,Fantasy,2003,3.7,905,A fascinating Hindi fantasy book that explores the data.,Hindi,Career growth,Long,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/5510300-L.jpg
410,Final Data,Amit Dubois,Fiction,1955,4.7,512,A fascinating Spanish fiction book that explores the forest.,Spanish,Career growth,Long,"Emotional, Inspired",https://covers.openlibrary.org/b/id/6220994-L.jpg
411,Infinite Algorithm,Jean Turing,Fiction,2018,3.5,965,A fascinating Hindi fiction book that explores the journey.,Hindi,Motivation,Long,"Emotional, Curious",https://covers.openlibrary.org/b/id/7753393-L.jpg
412,Cosmic Heart,Isabella Chen,Fiction,1996,4.3,192,A fascinating Spanish fiction book that explores the forest.,Spanish,Career growth,Short,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/7872939-L.jpg
413,Dark Algorithm,Ada Garcia,Fiction,1953,4.5,245,A fascinating English fiction book that explores the forest.,English,Motivation,Medium,Emotional,https://covers.openlibrary.org/b/id/7221876-L.jpg
414,Magic Data,Jean Patel,Self-Help,1966,3.7,954,A fascinating Spanish self-help book that explores the habit.,Spanish,Career growth,Long,"Curious, Inspired",https://covers.openlibrary.org/b/id/8198765-L.jpg
415,Magic History,Isabella Kim,Fiction,1959,4.6,525,A fascinating Hindi fiction book that explores the forest.,Hindi,Motivation,Long,Inspired,https://covers.openlibrary.org/b/id/6357705-L.jpg
416,Cosmic Heart,Isabella Chen,Fantasy,1988,3.7,242,A fascinating French fantasy book that explores the code.,French,Career growth,Medium,"Curious, Inspired",https://covers.openlibrary.org/b/id/8890590-L.jpg
417,Brief Algorithm,Alan Sharma,Fiction,1966,3.7,227,A fascinating French fiction book that explores the code.,French,Career growth,Medium,"Curious, Inspired",https://covers.openlibrary.org/b/id/7604181-L.jpg
418,The Great Mind,James Martin,Mystery,1990,4.9,257,A fascinating Hindi mystery book that explores the code.,Hindi,Learning,Medium,Inspired,https://covers.openlibrary.org/b/id/7616551-L.jpg
419,Magic Mystery,Sophie Kim,Science,1979,3.7,542,A fascinating Hindi science book that explores the habit.,Hindi,Learning,Long,Relaxed,https://covers.openlibrary.org/b/id/5631521-L.jpg
420,Cosmic Dream,Carlos Rodriguez,Science,1955,3.8,362,A fascinating French science book that explores the forest.,French,Career growth,Medium,Inspired,https://covers.openlibrary.org/b/id/8059833-L.jpg
421,Infinite Heart,Sophie Martin,Fantasy,2022,3.7,210,A fascinating English fantasy book that explores the mystery.,English,Entertainment,Medium,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/7084990-L.jpg
422,Cosmic Dream,Ada Turing,Programming,1979,3.9,137,A fascinating Hindi programming book that explores the habit.,Hindi,Career growth,Short,Inspired,https://covers.openlibrary.org/b/id/8698958-L.jpg
423,Hidden Data,James Rodriguez,Programming,1995,4.1,418,A fascinating Hindi programming book that explores the journey.,Hindi,Entertainment,Long,"Emotional, Inspired",https://covers.openlibrary.org/b/id/8356286-L.jpg
424,Pragmatic Data,Sophie Kumar,Programming,1956,4.2,362,A fascinating Hindi programming book that explores the habit.,Hindi,Entertainment,Medium,Inspired,https://covers.openlibrary.org/b/id/8532793-L.jpg
425,Magic Shadow,Ada Patel,Mystery,1983,5.0,311,A fascinating Hindi mystery book that explores the history.,Hindi,Learning,Medium,"Emotional, Curious",https://covers.openlibrary.org/b/id/7412185-L.jpg
426,The Great Forest,Elena Lovelace,Fiction,2021,4.7,380,A fascinating Hindi fiction book that explores the data.,Hindi,Motivation,Medium,Curious,https://covers.openlibrary.org/b/id/7165892-L.jpg
427,Lost Dream,Sophie Chen,Fiction,1992,4.5,323,A fascinating French fiction book that explores the data.,French,Entertainment,Medium,Inspired,https://covers.openlibrary.org/b/id/7254409-L.jpg
428,Brief Habit,Jean Rodriguez,Science,1977,3.8,415,A fascinating French science book that explores the data.,French,Entertainment,Long,Curious,https://covers.openlibrary.org/b/id/6567074-L.jpg
429,Golden Algorithm,Ada Kim,Fantasy,2008,4.2,734,A fascinating Spanish fantasy book that explores the mystery.,Spanish,Career growth,Long,Inspired,https://covers.openlibrary.org/b/id/6807062-L.jpg
430,Final Universe,Maria Chen,Programming,1958,4.3,386,A fascinating English programming book that explores the code.,English,Career growth,Medium,Relaxed,https://covers.openlibrary.org/b/id/7345286-L.jpg
431,Digital Dream,James Turing,Fiction,2017,3.9,494,A fascinating English fiction book that explores the light.,English,Motivation,Long,"Curious, Inspired",https://covers.openlibrary.org/b/id/6380271-L.jpg
432,Secret Mind,Carlos Kumar,Programming,1962,3.7,71,A fascinating English programming book that explores the shadow.,English,Career growth,Short,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/6935304-L.jpg
433,Golden Light,Isabella Garcia,Fantasy,2012,4.6,132,A fascinating Hindi fantasy book that explores the journey.,Hindi,Motivation,Short,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/8617227-L.jpg
434,The Great Algorithm,Carlos Rodriguez,Fiction,1971,3.7,349,A fascinating English fiction book that explores the algorithm.,English,Motivation,Medium,Relaxed,https://covers.openlibrary.org/b/id/8306550-L.jpg
435,Infinite Code,Jean Sharma,Fiction,1975,3.5,252,A fascinating Spanish fiction book that explores the universe.,Spanish,Motivation,Medium,Emotional,https://covers.openlibrary.org/b/id/5778192-L.jpg
436,Digital Light,Priya Chen,Self-Help,1983,4.0,208,A fascinating Hindi self-help book that explores the forest.,Hindi,Entertainment,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/8808657-L.jpg
437,Dark Universe,Carlos Martin,Fiction,1964,4.8,113,A fascinating Spanish fiction book that explores the history.,Spanish,Entertainment,Short,Emotional,https://covers.openlibrary.org/b/id/6582880-L.jpg
438,The Great Mind,Isabella Dubois,Programming,1981,4.1,593,A fascinating Hindi programming book that explores the shadow.,Hindi,Career growth,Long,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/8349543-L.jpg
439,Final Code,Elena Martin,Programming,2011,4.0,304,A fascinating French programming book that explores the data.,French,Motivation,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/8628842-L.jpg
440,The Great Mystery,Priya Martin,Fiction,1970,3.6,143,A fascinating English fiction book that explores the journey.,English,Career growth,Short,Inspired,https://covers.openlibrary.org/b/id/5759649-L.jpg
441,Secret Data,Isabella Lovelace,Self-Help,1958,4.0,103,A fascinating Spanish self-help book that explores the code.,Spanish,Entertainment,Short,Inspired,https://covers.openlibrary.org/b/id/5865683-L.jpg
442,Infinite Algorithm,James Patel,Programming,1985,4.8,954,A fascinating Spanish programming book that explores the mind.,Spanish,Motivation,Long,"Emotional, Curious",https://covers.openlibrary.org/b/id/6695747-L.jpg
443,Golden Code,Maria Lovelace,Mystery,2006,5.0,182,A fascinating English mystery book that explores the dream.,English,Learning,Short,"Emotional, Curious",https://covers.openlibrary.org/b/id/5857904-L.jpg
444,Dark Mystery,Elena Martin,Self-Help,1973,4.4,265,A fascinating English self-help book that explores the shadow.,English,Career growth,Medium,"Emotional, Inspired",https://covers.openlibrary.org/b/id/7454980-L.jpg
445,Digital Forest,Jean Chen,Fiction,1966,4.7,203,A fascinating Spanish fiction book that explores the algorithm.,Spanish,Learning,Medium,Inspired,https://covers.openlibrary.org/b/id/7146730-L.jpg
446,Infinite History,Elena Kim,Science,1957,3.5,370,A fascinating Hindi science book that explores the code.,Hindi,Motivation,Medium,Inspired,https://covers.openlibrary.org/b/id/5486682-L.jpg
447,Hidden Data,James Patel,Fantasy,2013,3.9,78,A fascinating Hindi fantasy book that explores the journey.,Hindi,Learning,Short,"Relaxed, Curious",https://covers.openlibrary.org/b/id/8120789-L.jpg
448,Magic Data,Maria Kim,Fantasy,1988,4.1,821,A fascinating French fantasy book that explores the heart.,French,Learning,Long,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/8147327-L.jpg
449,Digital Dream,Isabella Kumar,Fiction,2010,3.9,278,A fascinating French fiction book that explores the habit.,French,Learning,Medium,"Curious, Inspired",https://covers.openlibrary.org/b/id/7139714-L.jpg
450,Brief Mind,Isabella Dubois,Self-Help,1995,4.9,297,A fascinating Spanish self-help book that explores the mind.,Spanish,Motivation,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/5564725-L.jpg
451,Digital Shadow,Priya Smith,Science,2017,4.2,351,A fascinating Hindi science book that explores the shadow.,Hindi,Learning,Medium,Curious,https://covers.openlibrary.org/b/id/6362149-L.jpg
452,Infinite Universe,Sophie Turing,Science,2012,4.2,234,A fascinating English science book that explores the data.,English,Learning,Medium,"Emotional, Curious",https://covers.openlibrary.org/b/id/8866656-L.jpg
453,Brief Mystery,Robert Turing,Fantasy,1986,4.1,190,A fascinating Spanish fantasy book that explores the mystery.,Spanish,Entertainment,Short,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/5057594-L.jpg
454,Brief Shadow,Sophie Dubois,Self-Help,2002,4.5,631,A fascinating French self-help book that explores the dream.,French,Learning,Long,"Curious, Inspired",https://covers.openlibrary.org/b/id/5874008-L.jpg
455,Golden Forest,Sophie Sharma,Mystery,1998,4.6,111,A fascinating Spanish mystery book that explores the shadow.,Spanish,Learning,Short,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/7476916-L.jpg
456,Infinite History,Jean Martin,Fantasy,1970,4.0,326,A fascinating English fantasy book that explores the code.,English,Career growth,Medium,Emotional,https://covers.openlibrary.org/b/id/7763776-L.jpg
457,Dark Habit,Amit Chen,Fantasy,1976,3.9,91,A fascinating Hindi fantasy book that explores the algorithm.,Hindi,Career growth,Short,"Curious, Inspired",https://covers.openlibrary.org/b/id/8585679-L.jpg
458,Golden Mind,Isabella Garcia,Science,2003,3.6,125,A fascinating English science book that explores the habit.,English,Learning,Short,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/6353072-L.jpg
459,Lost Dream,Robert Garcia,Mystery,1956,4.0,410,A fascinating Spanish mystery book that explores the algorithm.,Spanish,Learning,Long,"Curious, Inspired",https://covers.openlibrary.org/b/id/8591437-L.jpg
460,Silent Shadow,Elena Chen,Self-Help,2006,4.7,327,A fascinating Hindi self-help book that explores the history.,Hindi,Motivation,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/8166400-L.jpg
461,Final Shadow,Jean Dubois,Mystery,2008,3.7,258,A fascinating Spanish mystery book that explores the journey.,Spanish,Career growth,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/7935620-L.jpg
462,Secret History,Alan Chen,Science,1975,4.6,386,A fascinating Hindi science book that explores the universe.,Hindi,Learning,Medium,"Emotional, Curious",https://covers.openlibrary.org/b/id/6500440-L.jpg
463,Golden Habit,Amit Patel,Fantasy,1972,3.7,53,A fascinating Hindi fantasy book that explores the shadow.,Hindi,Career growth,Short,Emotional,https://covers.openlibrary.org/b/id/7007635-L.jpg
464,Silent Forest,Robert Lovelace,Fiction,1968,4.9,346,A fascinating French fiction book that explores the forest.,French,Motivation,Medium,Curious,https://covers.openlibrary.org/b/id/7991886-L.jpg
465,Golden Heart,James Garcia,Self-Help,1998,4.9,313,A fascinating Spanish self-help book that explores the forest.,Spanish,Motivation,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/5262288-L.jpg
466,Brief Shadow,Elena Smith,Science,2004,4.8,159,A fascinating Hindi science book that explores the dream.,Hindi,Motivation,Short,"Emotional, Inspired",https://covers.openlibrary.org/b/id/7827218-L.jpg
467,Brief Data,Jean Chen,Fantasy,1971,5.0,472,A fascinating English fantasy book that explores the light.,English,Career growth,Long,Relaxed,https://covers.openlibrary.org/b/id/5102426-L.jpg
468,Magic History,James Garcia,Science,2017,4.9,346,A fascinating Spanish science book that explores the shadow.,Spanish,Career growth,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/5496216-L.jpg
469,Lost Light,Alan Smith,Fiction,1956,4.1,81,A fascinating Hindi fiction book that explores the journey.,Hindi,Entertainment,Short,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/5385051-L.jpg
